frequency,avgNoisy,avgData,postFiltering
80.0,213.78497,6.9284263,6.9711685
80.200005,210.80115,7.1154613,8.281872
80.4,210.92947,7.3800573,8.339286
80.6,213.24371,7.1081276,7.5774145
80.8,207.40527,6.9339952,8.621234
81.0,214.24628,6.841555,7.9317336
81.200005,209.33409,7.1644816,7.31436
81.4,211.99672,7.592862,7.5454926
81.6,218.3287,7.6378784,8.045964
81.8,213.97128,7.7989135,8.074702
82.0,213.14682,7.4489307,7.6860094
82.200005,209.61581,7.8939056,8.649523
82.4,216.25198,8.003996,7.3849854
82.6,212.26291,8.093461,8.480869
82.8,216.04718,8.47762,8.598704
83.0,216.86594,8.505024,7.9644837
83.200005,219.00339,8.393197,7.91073
83.4,211.69994,8.507552,8.406
83.6,215.56241,8.7492485,8.514964
83.8,213.39926,8.680005,9.0821085
84.0,214.05862,8.826125,9.469817
84.200005,213.53877,9.086278,9.668374
84.4,209.78583,8.9330015,9.544784
84.6,214.29614,9.117977,7.8829546
84.8,217.21826,9.331825,9.2408
85.0,217.84537,9.088481,10.49535
85.200005,213.73337,9.092133,9.593231
85.4,211.46223,9.26345,8.344843
85.6,215.04228,9.46804,9.9220705
85.8,218.12479,9.529736,9.812544
86.0,213.16452,9.632069,9.41784
86.200005,215.27936,9.900811,9.362808
86.4,209.72305,9.719459,9.697367
86.6,213.10751,9.607568,10.004699
86.8,214.20618,9.9180975,10.181179
87.0,219.58151,9.775602,12.3821745
87.200005,215.4922,10.293464,9.432775
87.4,214.93538,10.870739,9.995817
87.6,216.04321,11.265524,12.432149
87.8,215.69974,11.085849,11.963468
88.0,219.48224,10.63817,11.021776
88.200005,215.45866,10.541034,10.924122
88.4,215.04388,11.031604,11.34117
88.6,210.28488,10.909665,10.611635
88.8,217.3462,11.139433,11.369411
89.0,218.19511,11.409673,12.03462
89.200005,215.47348,11.292015,10.9476385
89.4,217.06833,11.116144,11.26545
89.6,214.51562,11.16832,12.527669
89.8,215.32492,11.672571,12.067217
90.0,217.37457,11.968637,12.790807
90.200005,216.05258,11.677483,11.428808
90.4,216.3113,11.674441,11.863484
90.6,213.87326,11.897666,11.502457
90.8,209.99269,12.051399,11.723824
91.0,213.43695,12.3251295,12.196007
91.200005,216.96402,12.081837,12.648121
91.4,212.54996,12.300744,13.288978
91.6,217.60176,12.441304,12.361988
91.8,216.2862,12.714881,13.199333
92.0,213.69513,13.089665,12.00136
92.200005,214.61938,12.906569,12.315324
92.4,214.83392,13.026188,14.373594
92.6,217.15408,12.737177,11.753871
92.8,219.08278,12.726706,15.004791
93.0,215.98193,12.883639,13.129498
93.200005,215.634,12.839505,12.743685
93.4,218.75641,13.397926,13.586665
93.6,220.4414,13.939592,14.439513
93.8,225.26755,13.544286,12.661079
94.0,221.02968,13.202672,14.097003
94.200005,221.35231,12.947704,13.329401
94.4,215.73892,13.195195,13.811396
94.6,217.99649,13.641656,12.055936
94.8,217.91,13.904554,13.851555
95.0,218.15585,14.070719,14.094545
95.200005,218.03674,13.77517,12.204657
95.4,220.1664,14.329414,13.321504
95.6,221.82916,14.546954,15.843771
95.8,220.15808,14.447405,13.925461
96.0,223.71115,14.270049,12.793865
96.200005,224.65367,14.348519,13.54502
96.4,222.4257,15.111823,16.026674
96.6,219.7873,14.723812,14.720995
96.8,218.28989,15.044652,15.902369
97.0,219.07117,15.393653,15.46303
97.200005,219.71823,15.277813,14.408513
97.4,221.80109,14.925846,17.879229
97.6,224.58438,15.037681,18.121098
97.8,222.16516,14.591857,15.659499
98.0,223.207,15.252729,15.922067
98.200005,224.22574,15.025418,15.380501
98.4,221.3007,15.055517,14.597345
98.6,223.48413,15.683017,16.001635
98.8,225.95758,16.493052,16.191355
99.0,218.1525,16.421339,13.734047
99.200005,226.51465,16.12225,18.218058
99.4,222.05078,16.15566,16.739029
99.6,223.43459,16.105877,16.58917
99.8,221.21503,15.866118,17.19529
100.0,225.05121,16.24561,16.984133
100.200005,224.62003,16.331604,17.43533
100.4,225.7674,16.830465,17.07084
100.6,223.53732,17.40142,17.107433
100.8,222.37834,17.214184,15.400773
101.0,221.4685,17.001532,15.96569
101.200005,219.09706,16.287853,16.847345
101.4,223.81757,16.495407,16.52064
101.6,225.79929,16.42781,16.704697
101.8,224.02777,16.548605,15.772528
102.0,223.07301,16.936977,17.27122
102.200005,229.08553,17.145445,16.728928
102.4,229.54465,17.514503,18.86868
