frequency,avgNoisy,avgData,postFiltering
608.0,124.074326,0.4638134,0.4908294
609.0,125.09994,0.46468684,0.48581743
610.0,125.340706,0.4642463,0.46147713
611.0,127.20859,0.45869726,0.4910748
612.0,125.9108,0.45479667,0.4644583
613.0,125.45501,0.45483935,0.47019055
614.0,123.78511,0.45722473,0.48185417
615.0,126.052216,0.45284846,0.45066193
616.0,124.25618,0.44585407,0.4529851
617.0,126.57558,0.44988695,0.46663234
618.0,126.2045,0.46073267,0.45390165
619.0,126.40636,0.46743757,0.47459474
620.0,126.99377,0.4670116,0.49079767
621.0,128.88223,0.46587738,0.5034221
622.0,130.7666,0.465771,0.49452257
623.0,126.5121,0.45584992,0.4674967
624.0,128.78276,0.44147676,0.46327364
625.0,125.75859,0.42137507,0.40263295
626.0,124.96032,0.4085864,0.40658417
627.0,126.15126,0.4058879,0.41613168
628.0,122.1797,0.41472602,0.39273116
629.0,127.37918,0.41933772,0.43129432
630.0,130.34158,0.42150715,0.42124298
631.0,127.96286,0.41828093,0.42417958
632.0,126.06848,0.41335356,0.41392958
633.0,126.52951,0.41566488,0.42047137
634.0,127.45947,0.426834,0.4295711
635.0,126.08915,0.44409135,0.4655113
636.0,132.45943,0.4541846,0.4958827
637.0,129.6616,0.4528663,0.4903495
638.0,131.60991,0.4390893,0.5011399
639.0,131.25636,0.42498305,0.46249005
640.0,128.1785,0.42150137,0.4280012
641.0,131.5079,0.42044735,0.43915278
642.0,130.87909,0.4141406,0.443612
643.0,133.09381,0.41083366,0.43343663
644.0,131.32599,0.41112384,0.4268593
645.0,131.92209,0.41738647,0.47308093
646.0,130.30475,0.42928702,0.4521512
647.0,135.65036,0.43612123,0.4850558
648.0,133.07384,0.4401769,0.4732108
649.0,132.87791,0.43783942,0.4723533
650.0,133.74852,0.42886508,0.45712635
651.0,131.05963,0.4165265,0.43822217
652.0,132.08817,0.40935454,0.4505448
653.0,133.96393,0.39850426,0.40291014
654.0,135.02832,0.3905961,0.43077442
655.0,136.78418,0.38860637,0.42622364
656.0,138.81921,0.38261124,0.43682653
657.0,135.32979,0.37674975,0.37365514
658.0,134.15625,0.3790749,0.42091337
659.0,137.41794,0.38453385,0.42884237
660.0,140.43416,0.38987952,0.4528244
661.0,143.40213,0.38823506,0.43006742
662.0,142.776,0.37920597,0.4306467
663.0,140.65286,0.37244532,0.42008102
664.0,137.86868,0.3800223,0.42285436
665.0,140.44489,0.3854615,0.43146604
666.0,144.69873,0.38270646,0.45103464
667.0,143.70386,0.36856088,0.41406682
