offset, x, y
251, 1, 0
374, 0, 1
126, 0, -1
124, -2, 0
124, 1, 0
377, 1, 0
250, -1, 0
250, 1, 0
125, -1, 0
376, 1, 0
374, 1, -1
500, -2, 2
125, 1, 0
125, 0, -1
374, -1, -1
125, -1, 0
126, 0, 2
124, 0, -1
251, 1, 0
375, 1, 0
250, -1, 0
252, -1, 0
123, 1, 0
125, 0, 1
375, 1, -1
249, -3, 0
251, 1, 1
126, 1, 0
374, 1, 0
125, 0, -1
250, -1, 0
375, 0, -1
127, 0, 1
248, 0, 1
250, -1, 0
254, 1, 0
121, 0, -2
248, 1, 0
127, 0, 1
375, -1, 0
125, 2, 0
124, -1, 0
251, 1, -1
125, 0, 1
249, -2, 1
501, 1, 0
126, -1, 0
125, 1, 0
124, 1, -1
123, -1, 0
504, -2, 0
249, 1, 0
373, 0, 1
126, 0, -1
124, 1, 1
127, -1, 0
125, 1, -1
126, -1, 0
137, 0, -1
115, 1, 0
122, 0, 1
125, -1, 0
498, -1, 0
125, 2, 0
126, -1, 0
124, -1, 0
126, 3, 0
124, -1, 0
249, -1, 0
127, -1, 0
125, 1, 1
125, 0, -1
501, -1, 0
373, 1, 0
129, 1, 0
122, -2, 0
124, 2, 0
500, 0, 2
127, 0, -3
124, -1, 1
126, -2, 0
123, 2, 0
376, 1, 0
250, -2, -1
250, 1, 1
374, 1, 0
252, -1, 1
123, 0, -1
374, -1, 1
127, 1, 0
124, -1, 0
125, 1, -1
127, 1, 0
124, -2, 0
125, 2, 0
124, -1, 0
250, 1, 1
128, 0, -1
373, -1, 0
250, 1, 0
125, 1, 0
126, -3, 0
125, 2, 0
125, -1, 1
499, 0, -2
126, -2, 0
124, 2, 1
624, -1, 0
125, 0, 1
124, 1, -1
125, 2, 0
128, -1, 0
123, -1, 0
249, 1, 0
250, -2, 0
126, 1, 0
250, -2, 0
126, 1, -1
124, 1, 0
125, 1, 0
126, -2, 0
125, 1, 1
125, -2, -1
125, 3, 1
498, -2, 0
127, 2, 0
124, -1, 0
123, -2, 0
252, 2, 0
999, 1, 0
127, -2, 0
249, 1, 0
1123, -1, -1
127, -1, 0
125, 2, 0
125, 2, 0
126, -2, 1
124, 1, 0
125, -1, 0
1125, -2, -1
128, 1, 1
123, 2, 0
250, 0, -1
127, -2, 2
123, 1, 0
122, 0, -1
628, -1, 0
126, 2, 0
125, -2, 0
124, 1, 1
125, -1, -1
125, 1, 0
124, 0, 1
626, 1, 0
248, 0, -1
750, -1, 0
250, 1, 0
248, -1, 0
252, -2, 0
249, 1, 0
125, 1, 0
125, 2, 0
125, -1, 0
250, 0, 1
516, -1, 0
110, -1, 0
124, 2, 0
126, 0, -1
749, -1, 0
125, 1, 0
130, -3, 0
120, 1, 0
255, -1, 0
124, 2, 0
382, 0, -1
124, 2, 0
125, -2, 1
275, 1, 0
104, -1, 1
122, 0, -1
248, 1, 0
